orbital_period,transit_duration,planet_radius,transit_depth,stellar_radius,stellar_temp,label
1.073917869,2.4305,33.01,1926.6,0.959,5962.0,false_positive
14.313157391,8.90236,34.98,21567.0,2.379,5750.0,false_positive
1.376384817,1.745,1.47,365.9,0.746,5278.0,false_positive
13.1471808,4.471,9.63171,7691.0,1.18,5670.0,candidate
3.411758679,3.158,14.71,570.6,0.561,3995.0,false_positive
66.47762,4.487,1.83,553.5,0.775,5515.0,candidate
9.2897006,5.3589155,11.4812614,6241.2619064,1.41549,6055.0,kp
6.37705295,1.949,2.15,502.8,0.965,5672.0,candidate
19.5862903,6.924,19.398,24300.0,1.23,5986.0,candidate
4.4096675,2.1418,1.51,132.7,1.166,5836.0,confirmed
3.5366051,2.587,13.8209,12660.0,1.19,6026.0,candidate
2.56271232,2.163,0.48,29.4,0.899,5190.0,candidate
2.0083269,4.37,4.99539,1680.0,1.28,6656.0,candidate
10.4137997,3.774,10.0431,6720.0,1.2,6079.0,candidate
42.3520039,7.773,6.3,512.6,2.632,6864.0,confirmed
2.8317721,2.607,17.0328,12860.0,1.48,6084.0,candidate
13.6032081,2.592,0.75,180.5,0.511,3780.0,candidate
10.90962154,17.8024,149.1,499920.0,2.064,5323.0,false_positive
4.800232532,3.57105,48.67,277000.0,0.756,5591.0,false_positive
1.541530919,4.8691,115.49,213260.0,1.937,7631.0,false_positive
1.337116553,,12.89035,,0.713,4645.0,confirmed
15.65134872,4.1553,118.33,3104.0,3.289,6552.0,false_positive
9.3911326,4.5117643,14.4792216,6074.3894093,1.76693,5708.0,kp
0.9438885,2.592,1.45,35.8,2.297,6947.0,false_positive
15.613426,,3.0,,1.438,6460.0,confirmed
19.07536,,2.14,,0.64,4761.0,confirmed
100.8276725,8.39,4.35,1778.8,0.977,5301.0,confirmed
0.6227257,1.0110042,6.3159749,565.9410837,2.30849,6390.7,candidate
3.9592516,3.269,7.85756,3160.0,1.39,7068.0,candidate
0.8062768,1.963,9.05313,660.0,3.37,7311.1,false_positive
5.407469,2.87,12.0272,13091.0,1.03,5417.0,candidate
3.6948038,1.203,10.2565,17237.0,0.75,4376.0,candidate
11.6235,2.783,20.7208,44708.7,0.89,5518.0,apc
9.1004157,,2.469,,0.758,5048.0,confirmed
0.844786082,3.5289,35.27,2468.5,0.915,5705.0,false_positive
51.8098276,6.343,2.6,1025.4,0.826,5191.0,confirmed
19.40669392,5.27765,57.97,464520.0,0.778,5622.0,false_positive
376.934014,4.28,2.13,382.4,1.034,6074.0,candidate
25.0823402,6.423,2.26,244.6,1.262,6429.0,confirmed
357.41382,3.675,3.01,777.0,1.076,6233.0,candidate
6.3962557,2.826,5.10457,2257.0,1.13,5847.0,candidate
3.70122061,2.523,1.62,327.4,0.903,5616.0,confirmed
2.5194039,1.113,7.65729,1935.0,1.76,6380.0,apc
5.65245733,2.062,1.05,121.0,0.8,5159.0,confirmed
327.063,8.06,2.82,1006.0,0.882,5750.0,candidate
7.785227,,7.72094189,,1.817689,5084.0,candidate
2.8890956,2.232,12.4627,36105.0,0.59,3643.0,candidate
8.6000244,3.974,4.55822,1620.0,1.14,5700.8,candidate
1.3677581,1.363,11.144,5840.0,1.37,5355.0,candidate
1.070982122,1.255,0.98,43.4,1.433,5717.0,false_positive
5.389491,2.0,14.3807,49190.0,0.67,3493.0,candidate
0.516278,0.565611,2.442348,20289.210823,0.169,3009.0,false_positive
2.99561,,11.99363,,1.22,6132.0,confirmed
38.3262237,3.073,2.43,392.1,0.903,5229.0,confirmed
0.987069622,1.0092,2.43,384.8,1.223,6602.0,false_positive
1.4013505,1.562,3.7143,1532.0,0.94,5521.0,false_positive
3.381607,7.627,117.25,440.6,59.437,3974.0,false_positive
209.06299275,10.0389,72.26,250910.0,1.024,6130.0,false_positive
241.0122,1.19,4.41,216.1,2.909,7843.0,false_positive
8.1382222,3.2797025,6.1757682,3852.0299874,0.951985,5414.0,confirmed
7.1123703,2.644,1.85858,497.0,0.91,5595.7,candidate
6.18943952,2.3316,0.65,83.2,0.721,5051.0,confirmed
131.0,,5.51,,1.4,6199.0,confirmed
7.5811005,4.457,11.5863,9830.0,1.14,6257.6,candidate
4.20507412692,,3.32404522,,0.877822,5086.0,candidate
6.84639884,3.4919,1.9,149.7,1.31,6065.0,candidate
50.693644,,8.68300668,,0.792931,5220.0,candidate
1.45655,1.51,1.83776,580.0,0.7,4475.0,false_positive
8.32801,,2.16480482,,0.801878,5231.0,confirmed
5.94228603,2.169,1.23,250.0,0.805,4891.0,confirmed
2.3170053,1.122279,4.4811227,1719.0971731,1.0432,5542.0,candidate
11.87290814,2.5342,2.25,332.7,1.04,6147.0,confirmed
59.6222627,6.888,3.63,993.4,0.997,6108.0,confirmed
40.9905002,7.336,2.41,297.3,1.41,5842.0,confirmed
30.7864669,3.466,23.8125,8750.0,2.05,6101.8,apc
5.06092282,2.586,0.98,71.6,0.911,5637.0,candidate
2.1654694,3.408,13.5615,4990.0,1.86,5830.0,apc
18.79418506,3.2906,2.33,1529.0,0.602,4126.0,confirmed
0.959641,,1.7,,0.872,5261.0,confirmed
