orbital_period,transit_duration,planet_radius,transit_depth,stellar_radius,stellar_temp,label
10.328035714,7.7915,13.28,16918.0,1.024,5627.0,false_positive
143.2063047,8.9302,8.9,10566.0,0.867,5485.0,confirmed
6.164876,3.262,0.79,55.8,1.012,5854.0,confirmed
60.32494216,6.6188,12.19,20280.0,0.867,5485.0,confirmed
29.1598615,4.803,1.91,488.0,0.867,5485.0,confirmed
1.540397253,2.1541,25.69,816.1,0.915,5663.0,false_positive
2.99025443,5.414,1.7,589.2,0.731,4667.0,false_positive
1.594745374,1.9604,11.3,15044.0,0.893,5934.0,confirmed
4.783002698,2.335,2.5,1008.7,0.807,5170.0,confirmed
20.50588921,4.0595,3.41,2105.5,0.761,4905.0,confirmed
3.340218842,1.9104,2.03,1632.6,0.493,3950.0,confirmed
2.507089906,2.0067,30.26,1339.2,0.939,5926.0,false_positive
18.64932728,4.4056,3.12,893.6,1.053,5775.0,confirmed
4.90144976,4.1654,1.7,140.7,1.402,5847.0,confirmed
9.75192101,4.793,2.76,418.0,1.053,5775.0,confirmed
38.5576546,5.794,4.02,993.0,1.053,5775.0,confirmed
3.525632539,2.59959,11.58,22335.0,0.793,5150.0,confirmed
34.84398644,2.9315,7.61,4523.6,0.871,5509.0,candidate
7.748094239,3.5957,5.52,2472.1,1.085,5973.0,confirmed
23.96793669,3.827,1.8,1182.3,0.524,3747.0,confirmed
8.29561738,1.3421,1.82,824.3,0.524,3747.0,confirmed
8.11437482,2.2736,2.1,1558.0,0.517,3692.0,confirmed
38.036729482,4.34617,27.5,82872.0,0.932,5575.0,false_positive
4.64090031,35.512,30.09,2450.6,0.826,6463.0,candidate
3.747838198,5.0642,13.65,616.0,0.826,5514.0,false_positive
14.74914825,6.0995,2.89,430.2,1.402,5847.0,confirmed
21.81295996,4.3791,3.38,1175.4,0.999,5601.0,confirmed
7.91936937,3.3148,10.34,15148.0,0.776,5690.0,false_positive
1.028436523,1.8606,72.77,8098.0,0.99,6228.0,candidate
15.37562369,3.3169,11.01,15337.0,0.833,4986.0,confirmed
8.10363271,3.161,2.11,887.9,0.732,4861.0,confirmed
4.71510843,2.506,1.46,417.5,0.732,4861.0,confirmed
6.365839713,2.9721,2.44,780.7,0.849,5776.0,confirmed
5.97581754,3.065,3.86,962.4,0.997,6108.0,false_positive
2.446737317,4.7211,26.25,1177.9,0.863,5764.0,false_positive
3.04033046,1.8411,8.99,10859.0,0.791,5035.0,confirmed
15.33528675,3.897,5.0,3081.4,0.817,5251.0,confirmed
7.95825328,4.377,1.06,50.0,1.402,5847.0,confirmed
31.33046135,5.176,6.5,5073.8,0.817,5251.0,confirmed
3.9043425,3.831,12.28,16228.0,0.898,5810.0,false_positive
9.286358079,3.49949,17.61,44791.0,0.821,5670.0,false_positive
3.951405455,2.1862,31.44,2453.9,0.869,6046.0,false_positive
23.65369415,8.2183,7.89,3341.8,1.384,5739.0,confirmed
13.23352214,6.7372,3.06,504.6,1.384,5739.0,confirmed
6.15560285,4.9843,2.32,285.0,1.384,5739.0,confirmed
2.090811305,3.388,1.62,115.9,1.384,5739.0,confirmed
3.180027898,3.5797,1.53,120.3,1.402,5847.0,confirmed
50.4467417,7.159,2.67,370.3,1.384,5739.0,confirmed
11.76307164,2.9076,2.35,1037.3,0.756,4959.0,confirmed
56.2279271,3.57,2.37,862.7,0.756,4959.0,confirmed
2.384052875,3.0918,17.06,1268.1,0.701,4794.0,false_positive
7.953547,2.6312,2.25,875.4,0.779,4768.0,confirmed
4.14451656,2.3421,1.48,391.8,0.779,4768.0,confirmed
4.859386384,2.2757,38.33,6044.3,0.988,6072.0,false_positive
10.526294577,2.5211,8.24,9768.0,0.793,5386.0,confirmed
4.583520948,2.7055,5.39,3812.1,0.877,5815.0,confirmed
3.76181843,3.5176,2.66,510.6,0.949,5653.0,confirmed
8.20396958,2.9667,3.01,1024.4,0.826,5015.0,confirmed
14.49645186,4.016,3.01,647.5,0.826,5015.0,confirmed
6.54626149,2.75,2.19,655.9,0.817,5251.0,confirmed
12.71809866,3.0957,2.31,1149.4,0.686,4702.0,confirmed
36.06588163,4.3246,2.64,1563.8,0.686,4702.0,confirmed
4.190425659,2.8589,6.21,2877.4,1.135,6073.0,confirmed
3.709870784,3.0694,4.35,2020.3,0.978,5727.0,confirmed
16.3297527,6.271,3.75,1187.5,0.987,5878.0,confirmed
27.807566216,4.21587,13.84,25391.0,0.785,5862.0,confirmed
80.8723469,11.195,7.59,3604.6,1.238,5510.0,confirmed
3.166465862,2.9381,26.82,4357.2,0.704,4968.0,false_positive
24.99324319,5.9409,2.29,269.6,1.317,5718.0,confirmed
10.35533116,3.1775,2.47,750.6,0.918,5501.0,confirmed
16.08518937,3.984,3.68,1442.4,0.826,5239.0,confirmed
235.9986399,8.2284,10.59,20715.0,0.657,4245.0,candidate
7.49018305,2.7297,2.56,1123.6,0.787,5103.0,confirmed
36.2761238,4.7865,3.03,1572.6,0.787,5103.0,confirmed
17.46087931,2.2641,2.32,812.4,0.787,5103.0,confirmed
56.0560754,4.685,1.94,1626.0,0.491,3593.0,confirmed
41.408316686,5.0264,11.38,22839.0,0.747,5522.0,confirmed
39.74893077,7.3051,14.21,15179.0,0.964,6122.0,candidate
5.715425977,2.5242,2.47,908.1,0.826,5237.0,confirmed
49.18394185,11.3364,8.2,1646.2,2.057,5626.0,confirmed
20.0261412,1.611,2.28,421.2,0.826,5237.0,confirmed
13.61014819,2.594,19.02,5732.9,0.903,5697.0,candidate
10.44331991,2.743,2.66,1159.8,0.802,4947.0,false_positive
2.237489571,1.8119,1.41,315.8,0.81,5265.0,confirmed
5.851520671,3.11058,14.62,33004.0,0.806,5532.0,false_positive
3.167893418,2.1814,2.62,781.2,0.94,5895.0,confirmed
4.311780262,2.7251,3.11,1154.0,0.927,5527.0,confirmed
20.0504494,4.556,2.69,840.9,0.927,5527.0,confirmed
9.76734503,1.6585,2.67,569.1,0.927,5527.0,confirmed
119.0207044,8.1405,8.98,7430.5,1.062,5453.0,candidate
190.3200468,15.284,7.78,1141.7,2.057,5626.0,confirmed
2.861159894,1.8832,4.37,1014.3,1.021,6126.0,false_positive
26.44439337,3.9783,3.91,1843.5,0.929,5427.0,confirmed
51.53997972,6.3994,5.51,3644.3,0.929,5427.0,confirmed
5.902245782,2.9003,2.43,702.3,0.929,5427.0,confirmed
2.382951591,1.8876,1.86,391.6,0.929,5427.0,confirmed
21.02250608,4.1072,3.07,1772.5,0.75,5067.0,confirmed
3.219814777,2.0642,1.69,488.2,0.787,5103.0,confirmed
5.912273234,2.3254,1.73,961.4,0.57,4072.0,confirmed
8.98581901,2.8606,1.65,881.3,0.57,4072.0,confirmed
12.940668656,2.4845,22.94,42450.0,0.809,5875.0,candidate
20.5452375,2.517,2.41,218.5,1.264,5670.0,false_positive
33.60123371,4.4056,8.46,7425.9,0.93,5149.0,confirmed
6.76652928,2.9004,1.97,450.7,0.93,5149.0,confirmed
4.347288783,2.1024,2.36,451.6,1.122,5754.0,confirmed
4.601811819,2.2607,2.35,755.9,0.833,4986.0,confirmed
11.18719905,3.252,1.55,353.6,0.833,4986.0,confirmed
4.220965778,3.0854,2.62,2260.0,0.517,3837.0,confirmed
6.998099523,2.0488,588.66,20285.0,0.829,5612.0,false_positive
5.95489993,2.3892,2.33,1410.7,0.633,4261.0,confirmed
12.03987488,2.7363,2.18,1250.6,0.633,4261.0,confirmed
20.83762895,2.3734,1.42,439.0,0.633,4261.0,confirmed
8.8111022,5.0683,63.66,401.1,2.404,6200.0,false_positive
23.58917143,5.073,3.16,1200.7,0.721,4919.0,confirmed
6.481633073,3.784,2.54,298.5,1.302,5945.0,confirmed
10.37168928,3.035,3.2,1254.9,0.888,5121.0,confirmed
3.96996298,1.1757,1.78,299.2,0.888,5121.0,confirmed
4.40841331,5.012,2.66,549.4,0.961,6007.0,confirmed
7.9426176,6.703,4.68,1590.7,0.926,5811.0,false_positive
226.8904775,7.558,4.53,3136.4,0.75,5067.0,confirmed
1.956811408,2.1958,21.58,24905.0,0.603,5209.0,false_positive
2.688899233,2.11275,12.04,37492.0,0.639,4820.0,candidate
9.439459486,2.8979,4.16,3036.1,0.779,5097.0,confirmed
11.523067458,3.8757,3.13,507.3,1.411,5644.0,confirmed
20.47748843,2.8364,2.92,1382.4,0.779,5097.0,confirmed
3.336123113,1.9616,1.74,516.3,0.779,5097.0,confirmed
8.01078456,2.312,1.72,1333.6,0.47,3713.0,confirmed
12.07134205,4.3224,1.29,759.2,0.47,3713.0,confirmed
20.99587872,2.6333,1.3,767.3,0.47,3713.0,confirmed
7.41113177,2.5242,2.45,620.5,0.919,5849.0,confirmed
1.000747038,0.9967,4.14,1823.5,0.79,5472.0,false_positive
8.884922995,2.07004,10.51,16053.0,0.843,5332.0,confirmed
8.09888906,4.20241,8.95,6911.1,1.076,6214.0,confirmed
10.00653012,5.344,3.52,936.1,1.001,6063.0,confirmed
17.855221681,7.41287,13.16,9065.2,1.367,6823.0,confirmed
12.732624065,2.2083,4.87,6465.7,0.541,3950.0,candidate
83.92494032,6.7904,4.78,7958.7,0.509,3960.0,candidate
5.007316661,4.2362,6.96,6932.3,0.827,5865.0,confirmed
2.211116989,1.6485,1.85,724.2,0.646,4500.0,confirmed
27.9541337,3.95,1.9,942.5,0.646,4500.0,confirmed
12.69104387,3.7727,2.57,252.1,1.626,5869.0,confirmed
4.409409243,3.8636,10.95,12861.0,0.975,5600.0,false_positive
16.23947096,4.0374,4.14,2590.7,0.837,5191.0,confirmed
6.308201629,2.9785,2.96,1328.5,0.837,5191.0,confirmed
2.052349884,2.0778,13.12,14281.0,1.08,5855.0,confirmed
9.7704486,2.4517,2.23,1897.8,0.509,3906.0,confirmed
5.169804269,2.153,1.66,1037.4,0.509,3906.0,confirmed
21.22261195,6.5093,2.48,366.0,1.302,5945.0,confirmed
20.09017037,4.154,2.25,1432.1,0.509,3906.0,confirmed
7.11373257,2.1764,1.16,807.6,0.411,3561.0,confirmed
3.306551643,1.8177,0.91,509.2,0.411,3561.0,confirmed
15.36845737,2.4714,1.11,756.1,0.411,3561.0,confirmed
13.81020318,3.048,4.56,1309.7,1.142,5942.0,confirmed
4.093578461,2.5833,2.85,538.6,0.999,6077.0,confirmed
105.145959,8.593,3.43,685.4,0.999,6077.0,confirmed
10.8484518,2.9993,2.34,1675.6,0.591,4201.0,confirmed
6.66833241,1.915,1.18,362.3,0.591,4201.0,confirmed
4.082274889,3.23015,10.55,17859.0,0.794,5655.0,confirmed
3.886655224,3.1646,1.87,581.6,0.738,5662.0,candidate
42.1406089,5.083,1.85,895.5,0.646,4500.0,confirmed
4.617490562,2.2618,1.62,575.8,0.646,4500.0,confirmed
10.19849255,2.4283,1.75,634.1,0.646,4500.0,confirmed
5.795063956,3.2496,4.33,1692.9,0.827,5865.0,false_positive
7.15681552,2.5882,2.47,867.0,0.838,5029.0,confirmed
17.64830851,2.0873,2.43,763.3,0.838,5029.0,confirmed
4.14810719,2.535,1.08,175.2,0.838,5029.0,confirmed
16.51410989,4.1575,2.72,973.5,0.866,5527.0,confirmed
30.1329298,5.172,3.14,1015.8,0.866,5527.0,confirmed
4.79090809,2.603,1.36,251.3,0.866,5527.0,confirmed
31.71981013,4.819,3.09,363.4,1.626,5869.0,confirmed
99.6415962,4.448,2.64,952.5,0.866,5527.0,confirmed
4.708326451,3.16114,10.6,7912.7,1.21,5560.0,confirmed
